brand,model,battery,year,height,width,weight,sim,numofsim,simtype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,maxextmemory,RAM,cam1MP,cam1video,cam2MP,cam2video,ir,radio,usb,nfc,fingerprint,price,basemark,loudspeaker,audioquality,endurance
Acer,Liquid Z630,4000,2015,156.3,77.5,165,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5.5,720 x 1280,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),no data,8,8,no data,8,no data,no data,,"microUSB 2.0, USB On-The-Go",No,No,200,no data,no data,no data,no data
Acer,Liquid Z530S,2420,2015,144,70.3,145,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5,720 x 1280,Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSD (dedicated slot),no data,32,8,no data,8,no data,no data,,microUSB 2.0,No,No,no data,no data,no data,no data,no data
Acer,Liquid Z530,2420,2015,144,70.3,145,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5,720 x 1280,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),no data,8,8,no data,8,no data,no data,,microUSB 2.0,No,No,150,no data,no data,no data,no data
Acer,Liquid M330,2000,2015,136,66.5,142,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,4.5,480 x 854,Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.0 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),no data,8,5,no data,5,no data,no data,,microUSB 2.0,No,No,no data,no data,no data,no data,no data
Acer,Liquid M320,2000,2015,136,66.5,142,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,4.5,480 x 854,Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),no data,8,5,no data,2,no data,no data,,microUSB 2.0,No,No,no data,no data,no data,no data,no data
Acer,Iconia Tab 10 A3-A30,5910,2015,260,176,540,No,no data,no data,10.1,1920 x 1200,Android 5.0 (Lollipop),Intel Atom Z3735F,Quad-core 1.33 GHz,no data,"microSD, up to 256 GB (dedicated slot)",no data,16/32/64,5,1080,2,no data,no data,,microUSB 2.0,Yes,No,250,no data,no data,no data,no data
Acer,Iconia One 8 B1-820,4550,2015,213.9,127.7,355,No,no data,no data,8,800 x 1280,Android 5.0 (Lollipop),Intel Atom Z3735G,Quad-core 1.33 GHz,no data,"microSD, up to 32 GB (dedicated slot)",no data,16/32,5,1080,no data,no data,no data,,microUSB 2.0,No,No,180,no data,no data,no data,no data
Acer,Iconia Tab A3-A20,5910,2014,256.5,170.2,508,No,no data,no data,10.1,1280 x 800,Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,"microSD, up to 256 GB (dedicated slot)",no data,16,5,720,2,no data,no data,,microUSB 2.0,No,No,190,no data,no data,no data,no data
Acer,Iconia Tab A3-A20FHD,5910,2014,256.5,170.2,508,No,no data,no data,10.1,1920 x 1200,Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.5 GHz Cortex-A7,Mali-450MP4,"microSD, up to 256 GB (dedicated slot)",no data,32,5,720,2,no data,no data,,microUSB 2.0,No,No,230,no data,no data,no data,no data
Acer,Liquid Jade Z,2300,2015,143.5,69.8,110,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",no data,no data,5,720 x 1280,Android 5.0 (Lollipop),Mediatek MT6732 (28 nm),Quad-core 1.5 GHz Cortex-A53,Mali-T760MP2,"microSD, up to 32 GB (uses shared SIM slot)",no data,8,13,1080,5,no data,no data,,microUSB 2.0,No,No,200,no data,no data,no data,no data
Acer,Liquid Z520,2000,2015,154,86,118,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5,480 x 854,Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB (dedicated slot)",no data,8,8,1080,2,no data,no data,,microUSB 2.0,No,No,130,no data,no data,no data,no data
Acer,Liquid Z220,1300,2015,125.3,64,120,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",no data,no data,4,480 x 800,Android 5.0 (Lollipop),Qualcomm Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,Adreno 302,"microSD, up to 32 GB (dedicated slot)",no data,8,5,720,2,no data,no data,,microUSB 2.0,No,No,90,no data,no data,no data,no data
Acer,Liquid M220,1300,2015,124.9,64,119,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",no data,no data,4,480 x 800,Microsoft Windows Phone 8.1,Qualcomm MSM8210 Snapdragon 200 (28 nm),Dual-core 1.2 GHz Cortex-A7,Adreno 302,"microSD, up to 32 GB (dedicated slot)",no data,4,5,no data,2,no data,no data,,microUSB 2.0,No,No,80,no data,no data,no data,no data
Acer,Liquid Z410,2000,2015,136,66.7,145,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,4.5,540 x 960,Android 4.4.4 (KitKat),Mediatek MT6732M (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T760MP2,"microSD, up to 32 GB (dedicated slot)",no data,8,5,no data,2,no data,no data,,microUSB 2.0,No,No,130,no data,no data,no data,no data
Acer,Liquid Jade S,2300,2014,143,69,116,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",no data,no data,5,720 x 1280,"Android 4.4.4 (KitKat), upgradable to 5.1 (Lollipop)",Mediatek MT6752M,Octa-core 1.5 GHz Cortex-A53,Mali-T760MP2,"microSD, up to 32 GB (uses shared SIM slot)",no data,16,13,1080,5,no data,no data,,microUSB 2.0,No,No,200,3934,60,no data,43
Acer,Liquid Z500,2000,2014,145,73,150,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5,720 x 1280,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB (dedicated slot)",no data,4,8,1080,2,no data,no data,,microUSB 2.0,No,No,150,no data,no data,no data,no data
Acer,Liquid X1,2700,2014,153.3,80.4,164,Micro-SIM,no data,no data,5.7,720 x 1280,Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,"microSD, up to 32 GB (dedicated slot)",no data,16,13,1080,2,no data,no data,,microUSB 2.0,No,No,260,no data,no data,no data,no data
Acer,Liquid Jade,2100,2014,140.5,69,110,"Hybrid Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5,720 x 1280,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB (uses shared SIM slot)",no data,8,13,1080,2,no data,no data,,microUSB 2.0,No,No,180,no data,no data,no data,no data
Acer,Liquid E700,3500,2014,147.3,73,155,Triple SIM (Micro-SIM),no data,no data,5,720 x 1280,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB (dedicated slot)",no data,16,8,1080,2,no data,no data,,microUSB 2.0,No,No,200,no data,no data,no data,no data
Acer,Liquid E600,2500,2014,147,72,155,Micro-SIM,no data,no data,5,480 x 854,Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,Adreno 305,"microSD, up to 32 GB (dedicated slot)",no data,4,8,no data,2,no data,no data,,microUSB 2.0,No,No,200,no data,no data,no data,no data
Acer,Liquid Z200,1300,2014,126,65,130,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)",no data,no data,4,480 x 800,Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB (dedicated slot)",no data,4,2,no data,no data,no data,no data,,microUSB 2.0,No,No,90,no data,no data,no data,no data
Acer,Iconia Tab 8 A1-840FHD,4600,2014,215,130,360,No,no data,no data,8,1200 x 1920,Android 4.4.2 (KitKat),Intel Atom Z3745,Quad-core 1.86 GHz,Intel Gen 7 (Ivy Bridge),"microSD, up to 32 GB (dedicated slot)",no data,16/32,5,no data,2,no data,no data,,microUSB 2.0,No,No,200,no data,no data,no data,no data
Acer,Iconia Tab 7 A1-713,3400,2014,no data,no data,298,Mini-SIM,no data,no data,7,600 x 1024,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",no data,Quad-core,no data,"microSD, up to 32 GB (dedicated slot)",no data,16,2,no data,no data,no data,no data,,microUSB 2.0,No,No,110,no data,no data,no data,no data
Acer,Iconia Tab 7 A1-713HD,3400,2014,no data,no data,298,Mini-SIM,no data,no data,7,800 x 1280,Android 4.4.2 (KitKat),no data,Quad-core,no data,"microSD, up to 32 GB (dedicated slot)",no data,16,5,no data,no data,no data,no data,,microUSB 2.0,No,No,150,no data,no data,no data,no data
Acer,Iconia One 7 B1-730,3700,2014,no data,no data,no data,No,no data,no data,7,800 x 1280,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Intel Atom Z2560,Dual-core 1.6 GHz,PowerVR SGX544MP2,"microSD, up to 32 GB (dedicated slot)",no data,8,5,no data,no data,no data,no data,,microUSB 2.0,No,No,90,no data,no data,no data,no data
Acer,Liquid E3 Duo Plus,2000,2014,138,69,no data,Dual SIM,no data,no data,4.7,720 x 1280,Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,16,13,no data,2,no data,no data,,microUSB 2.0,No,No,240,no data,no data,no data,no data
Acer,Liquid E3,2500,2014,136,68,134,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,4.7,720 x 1280,Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,4,13,no data,2,no data,no data,,microUSB 2.0,No,No,200,no data,no data,no data,no data
